Institute ID,Name,City,State,Score,Rank,Year
IR17-I-2-18243,Indian Institute of Science Bangalore,Bengaluru,Karnataka,83.28,1,2017
IR17-I-1-1-77,Indian Institute of Technology Madras,Chennai,Tamil Nadu,73.97,2,2017
IR17-I-2-18633,Indian Institute of Technology Bombay,Mumbai,Maharashtra,71.78,3,2017
IR17-I-2-18630,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,68.43,4,2017
IR17-I-2-1-79,Indian Institute of Technology Delhi,New Delhi,Delhi,64.18,5,2017
IR17-I-2-1-319,Jawaharlal Nehru University,New Delhi,Delhi,61.53,6,2017
IR17-I-2-18248,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,60.69,7,2017
IR17-I-2-1-251,Indian Institute of Technology Guwahati ,Guwahati,Assam,60.37,8,2017
IR17-I-2-18677,Indian Institute of Technology Roorkee ,Roorkee,Uttarakhand,59.84,9,2017
IR17-I-2-18500,Banaras Hindu University ,Varanasi,Uttar Pradesh,58.92,10,2017
IR17-I-2-30673,Jawaharlal Nehru Centre for Advanced Scientific Research ,Bengaluru,Karnataka,58.25,11,2017
IR17-I-2-10326,Jadavpur University ,Kolkata,West Bengal,57.32,12,2017
IR17-I-2-18292,Anna University ,Chennai,Tamil Nadu,56.5,13,2017
IR17-I-2-1-2813521158,University of Hyderabad ,Hyderabad,Telangana,56.3,14,2017
IR17-I-2-18552,University of Delhi ,Delhi,Delhi,55.37,15,2017
IR17-I-2-18267,Amrita Vishwa Vidyapeetham ,Coimbatore,Tamil Nadu,54.7,16,2017
IR17-I-1-18698,Indian Institute of Management Ahmedabad ,Ahmedabad,Gujarat,54.27,17,2017
IR17-I-2-1-618,Savitribai Phule Pune University ,Pune,Maharashtra,52.81,18,2017
IR17-I-2-18189,Aligarh Muslim University ,Aligarh,Uttar Pradesh,52.74,19,2017
IR17-I-2-1-2814289415,Jamia Millia Islamia ,New Delhi,Delhi,51.75,20,2017
IR17-I-2-18599,Birla Institute of Technology & Science -Pilani ,Pilani,Rajasthan,51.46,21,2017
IR17-I-2-18572,Vellore Institute of Technology ,Vellore,Tamil Nadu,51.36,22,2017
IR17-I-2-1-243,Indian Agricultural Research Institute ,New Delhi,Delhi,51.2,23,2017
IR17-I-2-1-346,Indian Institute of Technology Indore ,Indore,Madhya Pradesh,50.23,24,2017
IR17-I-1-1-217,Indian Institute of Management Bangalore ,Bengaluru,Karnataka,49.26,25,2017
IR17-I-2-1-345,Indian Institute of Technology Hyderabad ,Hyderabad,Telangana,49.07,26,2017
IR17-I-2-18606,Calcutta University ,Kolkata,West Bengal,48.9,27,2017
IR17-I-2-15598,Tamil Nadu Agricultural University ,Coimbatore,Tamil Nadu,48.84,28,2017
IR17-I-1-18637,"Indian Institute of Science Education & Research, Pune ",Pune,Maharashtra,48.28,29,2017
IR17-I-2-18364,Manipal Academy of Higher Education-Manipal ,Manipal,Karnataka,48.27,30,2017
IR17-I-2-18581,Visva Bharati ,Kolkata,West Bengal,48.19,31,2017
IR17-I-2-1-340,Indian Institute of Technology Ropar ,Rupnagar,Punjab,47.84,32,2017
IR17-I-2-1-624,Siksha`O` Anusandhan University ,Bhubaneswar,Odisha,46.72,33,2017
IR17-I-1-1-370,National Institute of Technology Tiruchirappalli ,Tiruchirappalli,Tamil Nadu,46.57,34,2017
IR17-I-2-18230,Homi Bhabha National Institute ,Mumbai,Maharashtra,46.45,35,2017
IR17-I-2-18559,Bharath Institute of Higher Education & Research ,Chennai,Tamil Nadu,46.45,35,2017
IR17-I-2-18639,Indian Institute of Technology Mandi ,Mandi,Himachal Pradesh,45.62,37,2017
IR17-I-2-18414,Osmania University ,Hyderabad,Telangana,45.52,38,2017
IR17-I-1-18700,Indian Institute of Management Calcutta ,Kolkata,West Bengal,45.17,39,2017
IR17-I-1-30713,"Punjab Agricultural University, Ludhiana ",Ludhiana,Punjab,44.99,40,2017
IR17-I-2-18261,Institute of Chemical Technology ,Mumbai,Maharashtra,44.95,41,2017
IR17-I-2-17784,Jamia Hamdard ,New Delhi,Delhi,44.84,42,2017
IR17-I-2-30702,Gauhati University ,Guwahati,Assam,44.42,43,2017
IR17-I-1-18635,"Indian Institute of Science Education & Research, Kolkata ",Mohanpur,West Bengal,44.38,44,2017
IR17-I-2-18567,Bharathiar University ,Coimbatore,Tamil Nadu,44.29,45,2017
IR17-I-2-1-140,National Institute of Technology Rourkela ,Rourkela,Odisha,44.02,46,2017
IR17-I-2-18317,Kerala University ,Thiruvananthapuram,Kerala,43.95,47,2017
IR17-I-2-10563,Tezpur University ,Tezpur,Assam,43.78,48,2017
IR17-I-1-700,TATA Institute of Social Sciences ,Mumbai,Maharashtra,43.71,49,2017
IR17-I-2-18477,Shanmugha Arts Science Technology & Research Academy (SASTRA) ,Thanjavur,Tamil Nadu,43.5,50,2017
IR17-I-1-18704,Indian Institute of Management Lucknow ,Lucknow,Uttar Pradesh,43.35,51,2017
IR17-I-2-1-333,"Indian Institute of Science Education & Research, Mohali ",Mohali,Punjab,43.27,52,2017
IR17-I-1-18632,Indian Institute of Technology (Indian School of Mines) ,Dhanbad,Jharkhand,43.21,53,2017
IR17-I-2-1-2814248400,Panjab University ,Chandigarh,Chandigarh,43.13,54,2017
IR17-I-2-1-596,S.R.M Institute of Science and Technology ,Chennai,Tamil Nadu,43.07,55,2017
IR17-I-1-1-249,Indian Institute of Space Science and Technology ,Thiruvananthapuram,Kerala,43.06,56,2017
IR17-I-2-1-457,Mysore University ,Mysore,Karnataka,42.83,57,2017
IR17-I-2-18693,"National Institute of Pharmaceutical Education and Research, Hyderabad ",Hyderabad,Telangana,42.74,58,2017
IR17-I-2-18424,Pondicherry University ,Puducherry,Pondicherry,42.7,59,2017
IR17-I-2-1-697,Tamil Nadu Veterinary & Animal Sciences University ,Chennai,Tamil Nadu,42.48,60,2017
